source_filename,training_filename,provenance,source_format,source_subtype,source_sample_rate,source_channels,source_duration_seconds,training_duration_seconds,edge_trimmed_seconds,peak_dbfs,clipped_fraction,estimated_snr_db,transcript_present,accepted,reason,source_sha256,training_sha256
original/01_english.wav,original_01_english.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,23.954286,23.66,0.294286,-15.87,0.0,21.744,True,True,accepted,df33b17842bbb8f0ec6eb517dad449df5942a91c1cb7a5900273bc93b1af4026,47911386d9ce9b39741b1c0d18acfb832c856fea8af0f53fe8bcbb5f79f90471
original/02_tanglish.wav,original_02_tanglish.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,26.749388,26.46,0.289388,-12.463,0.0,24.928,True,True,accepted,3630587551ffa36589e71ca1a6d131c30e7dd5a3fde80248251d220ca484e4d4,26ba77de4232835013cbb2f898f510855efe2bc137bd615d96f84ead81864681
original/03_tamil_heavy.wav,original_03_tamil_heavy.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,21.263673,21.02,0.243673,-15.775,0.0,20.584,True,True,accepted,6d4571746cbdcbcf1a4ff081de53cc1c1993b501fe4b6f6fb8c322cf231260db,4e18439d9875787be8d7cd33d31ba462d189b9ab1d95a77b921ade545ba8e509
original/04_technical.wav,original_04_technical.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,31.059592,30.86,0.199592,-14.84,0.0,22.593,True,True,accepted,08b62a01d83df816bbf0e07a5c33f89847503367dee0ef88ab8fc38731ba6f5e,a7c72874bbbb5863f09e523d8cdf49e143b2374b4edfa6bc34e70b86bdf1b2a7
original/05_assistant.wav,original_05_assistant.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,24.502857,24.2,0.302857,-10.948,0.0,29.346,True,True,accepted,5957f56f2f1aa39181254a4b6edc7642417a32c6fc1cdc164c7284454f76117f,464640e16248e171102eb6bb04b38611eee32b70ed0288b6592665c35c888a8e
original/06_command.wav,original_06_command.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,21.577143,21.46,0.117143,-10.589,0.0,23.451,True,True,accepted,2cf17011dfaf62dc5c74a25069da42738973b988287913734ad3082b9f7b4092,0363635388e13b69d046316c8fc002e75fcf94b59d4ab0d2ef4216bb05fc394f
original/07_question.wav,original_07_question.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,21.211429,20.96,0.251429,-12.856,0.0,22.082,True,True,accepted,782953959d5b9651b60d070b848648db2f41b19b97fc8c0ad8a3f0bce5161e1d,3a13e32f9d74705c7261e05489415d03316194340b3610fdf86139237b488a91
original/08_numbers.wav,original_08_numbers.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,27.585306,27.38,0.205306,-10.158,0.0,33.113,True,True,accepted,ef9e77341398a3ca89206a5251c91ac92f8be73a595cef68cd31bba82581463e,71b07a7f5ae2bb6906fe6d9dbeb5e603343d1b5e58627335cc376d79f9baf380
original/09_network.wav,original_09_network.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,24.842449,24.54,0.302449,-16.078,0.0,19.235,True,True,accepted,b61a87f2178d765e23cf6c96e0bac91c9b7c677f8c800e6f808f7ec0038a1778,11a5634ed9071149b0f669d04510d0efc6570477a89bf05cdc0961e4c1e75b08
original/10_narration.wav,original_10_narration.wav,original_microphone,MP3,MPEG_LAYER_III,44100,1,29.152653,28.72,0.432653,-16.377,0.0,23.3,True,True,accepted,cab40e2444a4f6766fabbbc0b870ac96f1e9949ede89c9def6333727b49f7a28,1a3b32ca5abf659a46fcf02cb6e15d2506140562d99351014afe4798b4443f20
original_v2/000_mic_test.wav,original_v2_000_mic_test.wav,original_microphone,WAV,PCM_16,22050,1,7.194875,7.1,0.094875,-17.111,0.0,12.925,False,True,accepted,a416dcd2f949f2e6a700818df5c51331a72e60ceee96ac34696e4efe06786591,02940fef5ee5d8d82155ff15dd2fb5213b56daff54bad3f5fe039c130e078dc3
original_v2/001_english_intro.wav,original_v2_001_english_intro.wav,original_microphone,WAV,PCM_16,22050,1,5.579955,4.58,0.999955,-20.845,0.0,25.582,True,True,accepted,285410f03c54751234517d88ba678f815edd5964934c35811f8982c9c0acd0da,e08da1e08aa09209f95466e616427c4c1b3e81684a84ce6946a17a38fb6d112b
